INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
222631	CCMSLIB00003137869	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	PYVRVRFVLRNJLY		Tags Missing	Add Tags																
157150	CCMSLIB00003718148	.beta.-Sitosterol	KZJWDPNRJALLNS	Tags Present	Check Current Tags and Add if Incomplete																	food			
187749	CCMSLIB00000853443	NCGC00381187-01_C23H20N4O5_(2S,4R,9a'S)-1'-Hydroxy-2',2'-dimethyl-4-(4-oxo-3(4H)-quinazolinyl)-1',9a'-dihydro-3H-spiro[furan-2,9'-imidazo[1,2-a]indole]-3',5(2'H,4H)-dione	NRWLZYIHXSJKCU	Tags Missing	Add Tags																				
26954	CCMSLIB00003139245	Spectral Match to Pinolenic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	HXQHFNIKBKZGRP		Tags Present	Check Current Tags and Add if Incomplete													food|plant			food consumption_pine nuts
69960	CCMSLIB00003194590	Sucrose	CZMRCDWAGMRECN	Tags Present	Check Current Tags and Add if Incomplete																	food			
342246	CCMSLIB00003321091	1-O-Hexadecyl-2-O-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glyceryl-3-phosphorylcholine	QQQQNYAHSSIZBU	Tags Missing	Add Tags																				
107955	CCMSLIB00003335241	1-Linoleoylglycerol	WECGLUPZRHILCT	Tags Present	Check Current Tags and Add if Incomplete																	plant			
329623	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
29431	CCMSLIB00000567955	MoNA:790536 Linoleic acid	OYHQOLUKZRVURQ	Tags Present	Check Current Tags and Add if Incomplete																	food			
188547	CCMSLIB00004691133	naringenin-7-O-glucoside	DLIKSSGEMUFQOK	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_citrus
211752	CCMSLIB00003137622	Spectral Match to Isoquercitin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
242257	CCMSLIB00004720117	Scutellarioside II	MVTLXFDHKDVAIC	Tags Missing	Add Tags																				
271090	CCMSLIB00003232161	Procyanidin B2	XFZJEEAOWLFHDH	Tags Present	Check Current Tags and Add if Incomplete																	food|naturalproduct_plant|plant			food consumption
47363	CCMSLIB00000852953	NCGC00380144-01_C20H28O3_(8E)-14-Hydroxy-5,9,12,13-tetramethyl-16-methylene-4-oxatricyclo[10.3.1.0~3,5~]hexadeca-1(15),8-dien-2-one	VHPDNWQKZMURPV	Tags Missing	Add Tags																				
21935	CCMSLIB00003576197	Aleuritic acid	MEHUJCGAYMDLEL	Tags Present	Check Current Tags and Add if Incomplete																	environmental			
341918	CCMSLIB00003174214	2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine	AJFWREUFUPEYII	Tags Missing	Add Tags																				
62251	CCMSLIB00000846581	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid	GQEOLYBERRZZCE	Tags Missing	Add Tags																				
323003	CCMSLIB00003268551	1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	FHQVHHIBKUMWTI	Tags Missing	Add Tags																				
281734	CCMSLIB00003302798	Dilinolenin (9c,12c,15c)	RAPBJBKXYYMYAY	Tags Missing	Add Tags																				
16720	CCMSLIB00000007061	cyclo(Phe-Leu)	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	QPDMOMIYLJMOQJ		Tags Present	Check Current Tags and Add if Incomplete													|human	9606|Homo sapiens	|feces	
107435	CCMSLIB00004711026	2-(hydroxymethyl)-6-(6-hydroxy-6-methyl-3-propan-2-ylcyclohex-3-en-1-yl)oxyoxane-3,4,5-triol	DIPALNDKWHCLEA	Tags Missing	Add Tags																				
205859	CCMSLIB00003391344	Echinocystic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
184757	CCMSLIB00003400098	Oleoside 11-methyl ester	XSCVKBFEPYGZSL	Tags Missing	Add Tags																				
218267	CCMSLIB00003134730	Spectral Match to .alpha.-Tocopheryl acetate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
22822	CCMSLIB00003136512	Spectral Match to Naringenin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
65479	CCMSLIB00003504993	Matairesinol	MATGKVZWFZHCLI	Tags Present	Check Current Tags and Add if Incomplete																	food			
287164	CCMSLIB00004706424	3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one	UKZBYNNIKTZZLT	Tags Missing	Add Tags																				
25793	CCMSLIB00003255591	13-Keto-9Z,11E-octadecadienoic acid	JHXAZBBVQSRKJR	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_saline|human|mice			
321250	CCMSLIB00003377022	1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine	WIHSZOXPODIZSW	Tags Missing	Add Tags																				
114312	CCMSLIB00004706065	Melibiose	DLRVVLDZNNYCBX	Tags Present	Check Current Tags and Add if Incomplete					food												environmental|food			
345054	CCMSLIB00003091476	PC(18:1/20:4); [M+H]+ C46H83N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
70463	CCMSLIB00003409414	Dimethyl .mu.-truxinate	YAQLZIKGHVLJJZ	Tags Missing	Add Tags																				
329948	CCMSLIB00003136067	Spectral Match to 1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
25867	CCMSLIB00003255591	13-Keto-9Z,11E-octadecadienoic acid	JHXAZBBVQSRKJR	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_saline|human|mice			
107718	CCMSLIB00003138475	Spectral Match to 1-Linoleoylglycerol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WECGLUPZRHILCT		Tags Present	Check Current Tags and Add if Incomplete													plant			
106410	CCMSLIB00003302705	Monolinolenin (9c,12c,15c)	GGJRAQULURVTAJ	Tags Missing	Add Tags																				
25047	CCMSLIB00005722718	NCGC00169012-02!7-[(3,3-dimethyloxiran-2-yl)methoxy]-6-methoxychromen-2-one [IIN-based: Match]	FMXSCHCLGOEVNM	Tags Missing	Add Tags																				
284112	CCMSLIB00000848143	NCGC00385510-01![(2S,3R,4S,5R,6R)-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] 3,4,5-trihydroxybenzoate	PXGWEUQZDRUMRE	Tags Present	Check Current Tags and Add if Incomplete																	food			
29593	CCMSLIB00003328885	10E,12Z-octadecadienoic acid	GKJZMAHZJGSBKD	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|food			
25499	CCMSLIB00003137023	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	JHXAZBBVQSRKJR		Tags Present	Check Current Tags and Add if Incomplete													dissolvedorganicmatter_water_saline|human|mice			
16053	CCMSLIB00003139338	Spectral Match to PyroGlu-Met from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
222280	CCMSLIB00003137012	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	PYVRVRFVLRNJLY		Tags Missing	Add Tags																
3789	CCMSLIB00005467669	5-Methoxy-L-tryptophan	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
25781	CCMSLIB00003255591	13-Keto-9Z,11E-octadecadienoic acid	JHXAZBBVQSRKJR	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_saline|human|mice			
81873	CCMSLIB00003728389	Gln-Trp	ZQFAGNFSIZZYBA	Tags Missing	Add Tags																				
169598	CCMSLIB00003558798	Solasodine	KWVISVAMQJWJSZ	Tags Present	Check Current Tags and Add if Incomplete																	food			
12524	CCMSLIB00003654435	Pretilachlor	YLPGTOIOYRQOHV	Tags Present	Check Current Tags and Add if Incomplete																	biocide_herbicide|environmental			
340429	CCMSLIB00003134673	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FORFDCPQKJHEBF		Tags Missing	Add Tags																
340323	CCMSLIB00003134673	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FORFDCPQKJHEBF		Tags Missing	Add Tags																
309976	CCMSLIB00003115178	SM(d18:1/16:0); [M+H]+ C39H80N2O6P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
37884	CCMSLIB00003409431	Dimethyl .mu.-truxinate	YAQLZIKGHVLJJZ	Tags Missing	Add Tags																				
4486	CCMSLIB00003460410	Pantothenic acid	GHOKWGTUZJEAQD	Tags Present	Check Current Tags and Add if Incomplete																	food|vitamin|naturalproduct_plant			
340742	CCMSLIB00003134673	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FORFDCPQKJHEBF		Tags Missing	Add Tags																
29587	CCMSLIB00003138495	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	GKJZMAHZJGSBKD		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct|food			
275947	CCMSLIB00000848461	NCGC00385133-01!7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	ZEJXENDZTYVXDP	Tags Present	Check Current Tags and Add if Incomplete																	food			
261142	CCMSLIB00005721176	NCGC00385836-01!3-[[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid [IIN-based: Match]	NBQPHANHNTWDML	Tags Missing	Add Tags																				
69805	CCMSLIB00003139086	Spectral Match to D-Turanose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
323222	CCMSLIB00003268551	1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	FHQVHHIBKUMWTI	Tags Missing	Add Tags																				
61712	CCMSLIB00003405730	Pectolinarin	DUXQKCCELUKXOE	Tags Present	Check Current Tags and Add if Incomplete																	food			
34365	CCMSLIB00003138261	Spectral Match to Piperine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	MXXWOMGUGJBKIW		Tags Present	Check Current Tags and Add if Incomplete													food|plant			food consumption_spices
29564	CCMSLIB00003138495	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	GKJZMAHZJGSBKD		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct|food			
338448	CCMSLIB00003268317	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
17370	CCMSLIB00003137955	Spectral Match to Ile-Met from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
36850	CCMSLIB00003573857	Vulpinic acid	OMZRMXULWNMRAE	Tags Missing	Add Tags																				
83402	CCMSLIB00003137728	Spectral Match to Leucine Enkephalin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
75582	CCMSLIB00005467711	N-(1-Deoxy-1-fructosyl)phenylalanine	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FAVRCIXPIVJIPN		Tags Present	Check Current Tags and Add if Incomplete													food_source_plant|naturalproduct_plant			
16074	CCMSLIB00004695928	6-methoxy-7-(3-methylbut-2-enoxy)chromen-2-one	ZLPLFUBVEZVYDX	Tags Missing	Add Tags																				
166403	CCMSLIB00000848042	NCGC00180497-02!	VXOZCESVZIRHCJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|naturalproduct_fungal			
322596	CCMSLIB00003268550	1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	FHQVHHIBKUMWTI	Tags Missing	Add Tags																				
204078	CCMSLIB00003134881	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
29620	CCMSLIB00003138495	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	GKJZMAHZJGSBKD		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct|food			
